DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/1/2016, 12:21:31 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.1,4108.187988,7351.488281,11,162208.34,192.76,-0.16,-0.62,-0.11,9.08,433.8169,2.0234,1023.08,2.1615,
1.2,4108.187988,7351.488281,11,162208.45,192.76,-0.11,-0.64,-0.14,9.10,433.6931,2.0519,1023.16,2.1428,
1.3,4108.187988,7351.488281,11,162208.55,192.76,-0.16,-0.65,-0.13,9.09,433.8381,2.0337,1023.27,2.1614,
1.4,4108.187988,7351.488281,11,162208.64,192.76,-0.20,-0.62,-0.09,9.07,433.0851,2.0260,1023.27,2.1490,
1.5,4108.187988,7351.488281,11,162208.75,192.76,-0.18,-0.59,-0.14,9.08,433.0542,2.0363,1023.33,2.1284,
1.6,4108.187988,7351.488281,11,162208.84,192.75,-0.16,-0.55,-0.16,9.08,431.6823,2.0440,1023.34,2.1140,
1.7,4108.187988,7351.488281,11,162208.95,192.75,-0.18,-0.53,-0.16,9.07,431.7133,2.0776,1023.04,2.1305,
1.8,4108.187988,7351.488281,11,162209.05,192.74,-0.17,-0.52,-0.18,9.07,429.6702,2.0208,1023.11,2.1532,
1.9,4108.187988,7351.488281,11,162209.14,192.74,-0.16,-0.51,-0.19,9.03,429.6296,2.0337,1023.25,2.1284,
2.0,4108.187988,7351.488281,11,162209.25,192.73,-0.18,-0.52,-0.25,8.97,429.4955,2.0389,1023.24,2.1573,
2.1,4108.187988,7351.488281,11,162209.34,192.74,-0.17,-0.48,-0.27,8.93,429.5980,2.0079,1023.21,2.1470,
2.2,4108.187988,7351.488281,11,162209.45,192.73,-0.18,-0.42,-0.28,8.86,427.9379,2.0698,1023.28,2.1305,
2.3,4108.187988,7351.488281,11,162209.55,192.72,-0.22,-0.42,-0.27,8.82,427.7832,2.0311,1023.19,2.1800,
2.4,4108.187988,7351.488281,11,162209.64,192.72,-0.22,-0.46,-0.28,8.82,428.2674,2.0466,1023.24,2.1305,
2.5,4108.187988,7351.488281,11,162209.75,192.72,-0.22,-0.46,-0.28,8.82,428.4846,1.9899,1023.18,2.1593,
2.6,4108.187988,7351.488281,11,162209.86,192.71,-0.21,-0.44,-0.27,8.83,428.1236,2.0183,1023.14,2.1490,
2.7,4108.187988,7351.488281,11,162209.95,192.71,-0.20,-0.41,-0.25,8.84,428.4015,1.9847,1023.23,2.1635,
