DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016,  2:24:48 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.4,4101.248047,7346.014648,12,182526.28,234.92,-0.56,0.53,0.14,20.34,430.0531,2.2091,1011.50,2.6257,
1.5,4101.248047,7346.014648,12,182526.41,234.92,-0.55,0.55,0.14,20.33,430.1357,2.2091,1011.29,2.6113,
1.6,4101.248047,7346.014648,12,182526.48,234.92,-0.54,0.56,0.15,20.32,429.8674,2.1781,1011.14,2.8444,
1.7,4101.248047,7346.014648,12,182526.59,234.92,-0.54,0.56,0.16,20.31,429.9602,2.2066,1011.39,2.8424,
1.8,4101.248047,7346.014648,12,182526.70,234.91,-0.54,0.56,0.16,20.31,430.0428,2.1704,1011.25,2.8010,
1.9,4101.248047,7346.014648,12,182526.78,234.90,-0.49,0.58,0.13,20.31,429.9706,2.2014,1011.54,2.7845,
2.0,4101.248047,7346.014648,12,182526.91,234.90,-0.45,0.54,0.13,20.31,429.9080,2.2323,1011.40,2.8155,
2.1,4101.248047,7346.014648,12,182527.00,234.91,-0.43,0.61,0.15,20.31,430.0840,2.2117,1011.37,2.8134,
2.2,4101.248047,7346.014648,12,182527.11,234.91,-0.41,0.53,0.10,20.23,429.8983,2.2581,1011.18,2.8382,
2.3,4101.248047,7346.014648,12,182527.19,234.90,-0.45,0.47,0.02,20.33,430.0628,2.1963,1011.25,2.8094,
2.4,4101.248047,7346.014648,12,182527.28,234.89,-0.34,0.48,-0.12,21.44,430.9095,2.4644,1011.33,2.8382,
2.5,4101.248047,7346.014648,12,182527.41,234.89,-0.20,0.47,0.04,23.57,430.6199,2.4515,1011.38,2.8134,
2.6,4101.248047,7346.014648,12,182527.50,234.88,-0.08,0.34,0.22,24.40,430.5587,2.4463,1011.46,2.9557,
2.7,4101.248047,7346.014648,12,182527.59,234.88,-0.16,0.05,0.27,23.54,430.1357,2.4489,1011.26,2.9331,
2.8,4101.248047,7346.014648,12,182527.70,234.88,-0.25,-0.22,0.28,22.91,430.3420,2.4437,1011.35,2.9681,
2.9,4101.248047,7346.014648,12,182527.80,234.88,-0.30,-0.30,0.39,22.99,430.1866,2.4927,1011.32,3.0011,
3.0,4101.248047,7346.014648,12,182527.91,234.88,-0.39,-0.22,0.54,23.09,430.1975,2.4773,1011.48,2.9784,
3.1,4101.248047,7346.014648,12,182527.98,234.88,-0.56,-0.19,0.58,22.54,430.1563,2.4953,1011.34,3.0011,
3.2,4101.248047,7346.014648,12,182528.09,234.89,-0.65,-0.15,0.51,22.12,429.6714,2.5237,1011.05,2.9476,
3.3,4101.248047,7346.014648,12,182528.19,234.90,-0.59,-0.06,0.47,22.84,429.5675,2.5340,1011.22,2.9289,
3.4,4101.248047,7346.014648,12,182528.30,234.91,-0.55,-0.01,0.47,23.29,429.5269,2.5469,1011.33,2.9661,
3.5,4101.248047,7346.014648,12,182528.41,234.91,-0.53,0.28,0.49,23.65,427.5459,2.5881,1011.21,3.0589,
3.6,4101.248047,7346.014648,12,182528.50,234.92,-0.54,0.52,0.53,24.93,427.5975,2.6165,1011.36,3.0609,
3.7,4101.248047,7346.014648,12,182528.59,234.92,-0.54,0.48,0.67,25.80,427.6594,2.6087,1011.29,3.0403,
3.8,4101.248047,7346.014648,12,182528.70,234.92,-0.57,0.47,0.68,25.41,427.6072,2.6371,1011.16,3.0321,
3.9,4101.248047,7346.014648,12,182528.78,234.93,-0.68,0.48,0.69,23.40,424.7809,2.7067,1011.36,3.0466,
4.0,4101.248047,7346.014648,12,182528.91,234.93,-0.69,0.51,0.49,21.05,424.8840,2.7068,1011.34,3.0238,
4.1,4101.248047,7346.014648,12,182529.00,234.93,-0.65,0.56,0.40,20.34,424.8318,2.6913,1011.24,3.0609,
4.2,4101.248047,7346.014648,12,182529.11,234.93,-0.65,0.54,0.49,21.27,424.1927,2.8460,1011.36,3.0382,
4.3,4101.248047,7346.014648,12,182529.19,234.93,-0.66,0.51,0.60,21.84,424.2959,2.8279,1011.29,3.0733,
4.4,4101.248047,7346.014648,12,182529.30,234.93,-0.76,0.50,0.49,21.91,424.1611,2.8511,1011.62,3.0404,
4.5,4101.248047,7346.014648,12,182529.41,234.94,-0.80,0.47,0.56,25.18,424.3572,2.7944,1011.39,3.0424,
4.6,4101.248047,7346.014648,12,182529.50,234.95,-0.79,0.22,0.50,25.19,422.7167,2.8047,1011.37,3.1104,
4.7,4101.248047,7346.014648,12,182529.59,234.95,-0.73,0.04,0.55,23.57,422.9024,2.8047,1011.40,3.0630,
4.8,4101.248047,7346.014648,12,182529.70,234.96,-0.64,0.19,0.53,23.26,422.8095,2.8099,1011.35,3.0486,
4.9,4101.248047,7346.014648,12,182529.80,234.97,-0.61,0.18,0.50,23.38,423.2745,2.7454,1011.45,3.0424,
5.0,4101.248047,7346.014648,12,182529.91,234.98,-0.63,0.40,0.50,23.48,423.3261,2.7892,1011.20,3.0527,
5.1,4101.248047,7346.014648,12,182529.98,234.98,-0.60,0.48,0.51,22.61,422.3659,2.7274,1011.43,3.0836,
5.2,4101.248047,7346.014648,12,182530.09,234.99,-0.63,0.51,0.44,22.61,422.2737,2.7428,1011.31,3.0898,
5.3,4101.248047,7346.014648,12,182530.19,235.00,-0.52,0.58,0.53,23.97,422.3356,2.7093,1011.32,3.0609,
5.4,4101.248047,7346.014648,12,182530.30,234.99,-0.46,0.62,0.59,25.04,423.1816,2.7686,1011.43,3.0836,
5.5,4101.248047,7346.014648,12,182530.41,234.99,-0.47,0.49,0.70,25.35,423.0056,2.7480,1011.46,3.0939,
5.6,4101.248047,7346.014648,12,182530.50,234.99,-0.49,0.52,0.74,25.63,423.2126,2.7635,1011.31,3.0775,
5.7,4101.248047,7346.014648,12,182530.59,235.00,-0.65,0.78,0.66,22.76,422.9437,2.8074,1011.49,3.0754,
5.8,4101.248047,7346.014648,12,182530.70,235.01,-0.57,0.70,0.52,20.93,423.0681,2.8150,1011.37,3.0218,
5.9,4101.248047,7346.014648,12,182530.78,235.00,-0.59,0.71,0.49,21.44,422.6554,2.8408,1011.29,3.0569,
6.0,4101.248047,7346.014648,12,182530.91,235.00,-0.67,0.66,0.43,20.68,422.6651,2.8692,1011.14,3.0589,
6.1,4101.248047,7346.014648,12,182531.00,235.00,-0.68,0.69,0.41,20.40,422.6451,2.8537,1011.40,3.0217,
6.2,4101.248047,7346.014648,12,182531.11,235.01,-0.70,0.73,0.36,20.57,422.5929,2.8150,1011.50,3.0671,
6.3,4101.248047,7346.014648,12,182531.19,235.01,-0.67,0.69,0.34,20.50,422.7167,2.8537,1011.23,3.0857,
6.4,4101.248047,7346.014648,12,182531.28,235.02,-0.64,0.67,0.32,20.85,422.6554,2.8898,1011.35,3.1063,
6.5,4101.248047,7346.014648,12,182531.41,235.02,-0.61,0.62,0.27,20.97,422.5626,2.8150,1011.51,3.0321,
6.6,4101.248047,7346.014648,12,182531.50,235.01,-0.52,0.51,0.21,20.86,422.6554,2.8872,1011.40,3.0712,
6.7,4101.248047,7346.014648,12,182531.59,235.01,-0.58,0.50,0.13,20.37,422.7683,2.8718,1011.36,3.0981,
