DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/3/2016,  9:16:35 AM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
0.9,4058.200195,7351.800293,13,131714.02,285.87,-0.21,0.65,0.13,14.18,685.8949,5.4313,1007.99,4.7811,
1.0,4058.200195,7351.800293,13,131714.13,285.88,-0.19,0.66,0.13,14.18,685.9568,5.4106,1007.91,4.7852,
1.1,4058.200195,7351.800293,13,131714.23,285.88,-0.18,0.68,0.14,14.17,685.7814,5.3514,1007.80,4.7800,
1.2,4058.200195,7351.800293,13,131714.31,285.88,-0.15,0.67,0.18,14.16,682.0990,5.0678,1007.89,4.7584,
1.3,4058.200195,7351.800293,13,131714.42,285.89,-0.11,0.68,0.19,14.17,681.7277,4.9105,1007.92,4.7563,
1.4,4058.200195,7351.800293,13,131714.52,285.89,-0.12,0.68,0.14,14.13,681.6555,4.9028,1007.91,4.7718,
1.5,4058.200195,7351.800293,13,131714.63,285.90,-0.14,0.67,0.15,14.14,681.0468,4.8667,1007.94,4.7718,
1.6,4058.200195,7351.800293,13,131714.72,285.91,-0.10,0.68,0.14,14.13,681.2016,4.8590,1008.03,4.8192,
1.7,4058.200195,7351.800293,13,131714.83,285.92,-0.17,0.66,0.16,14.15,680.0160,4.8152,1008.00,4.8089,
1.8,4058.200195,7351.800293,13,131714.92,285.92,-0.16,0.67,0.17,14.15,680.3557,4.8848,1007.71,4.8182,
1.9,4058.200195,7351.800293,13,131715.02,285.93,-0.14,0.72,0.18,14.18,680.2842,4.8899,1008.09,4.7945,
2.0,4058.200195,7351.800293,13,131715.11,285.94,-0.15,0.72,0.13,14.21,680.8515,4.9157,1007.98,4.8182,
2.1,4058.200195,7351.800293,13,131715.22,285.95,-0.14,0.67,0.08,14.22,680.7587,4.9338,1008.07,4.8141,
2.2,4058.200195,7351.800293,13,131715.33,285.96,-0.13,0.69,0.09,14.22,680.6755,4.9055,1008.09,4.8223,
2.3,4058.200195,7351.800293,13,131715.44,285.97,-0.11,0.73,0.12,14.22,682.6251,5.2070,1008.06,4.8183,
2.4,4058.200195,7351.800293,13,131715.52,285.98,-0.13,0.67,0.07,14.21,682.5741,5.1451,1008.09,4.8080,
2.5,4058.200195,7351.800293,13,131715.61,285.99,-0.10,0.68,0.06,14.19,681.8618,5.2121,1008.01,4.8131,
2.6,4058.200195,7351.800293,13,131715.72,286.00,-0.12,0.67,0.07,14.20,681.7689,5.2018,1007.89,4.8224,
2.7,4058.200195,7351.800293,13,131715.83,286.00,-0.09,0.68,0.05,14.18,682.3259,5.2250,1008.07,4.8543,
2.8,4058.200195,7351.800293,13,131715.92,286.00,-0.09,0.68,0.06,14.18,682.5013,5.2070,1007.99,4.8574,
2.9,4058.200195,7351.800293,13,131716.02,286.01,-0.11,0.68,0.09,14.18,682.4709,5.1889,1007.96,4.8234,
3.0,4058.200195,7351.800293,13,131716.13,286.02,-0.19,0.70,0.14,14.17,682.9448,5.6865,1008.01,4.8296,
3.1,4058.200195,7351.800293,13,131716.23,286.02,-0.17,0.69,0.15,14.17,682.6663,5.7483,1007.92,4.8410,
3.2,4058.200195,7351.800293,13,131716.31,286.03,-0.15,0.70,0.20,14.18,681.6864,6.1943,1008.04,4.8616,
3.3,4058.200195,7351.800293,13,131716.42,286.04,-0.11,0.71,0.20,14.17,681.3770,6.1635,1007.99,4.8389,
3.4,4058.200195,7351.800293,13,131716.52,286.04,-0.07,0.69,0.25,14.15,681.7070,6.2304,1008.03,4.8502,
3.5,4058.200195,7351.800293,13,131716.63,286.05,-0.12,0.66,0.26,14.14,682.5322,6.4161,1007.79,4.8678,
3.6,4058.200195,7351.800293,13,131716.72,286.05,-0.12,0.65,0.25,14.17,682.4291,6.3645,1007.89,4.8822,
3.7,4058.200195,7351.800293,13,131716.83,286.06,-0.19,0.65,0.25,14.14,682.3781,6.3361,1008.16,4.8770,
