DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/3/2016, 10:38:09 AM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.3,4056.391846,7347.926270,11,143848.50,172.87,0.19,0.19,-0.08,17.16,575.2672,3.0084,1007.92,3.1055,
1.4,4056.391846,7347.926270,11,143848.59,172.86,0.19,0.19,-0.08,17.17,575.0912,3.0007,1007.92,3.1097,
1.5,4056.391846,7347.926270,11,143848.70,172.85,0.22,0.20,-0.07,17.15,575.2465,3.0085,1008.00,3.1426,
1.6,4056.391846,7347.926270,11,143848.80,172.86,0.24,0.23,-0.06,17.12,575.0190,3.0368,1007.88,3.0993,
1.7,4056.391846,7347.926270,11,143848.91,172.85,0.17,0.24,-0.04,17.12,574.9984,2.9569,1007.96,3.1447,
1.8,4056.391846,7347.926270,11,143848.98,172.85,0.16,0.24,-0.06,17.13,574.9571,2.9671,1007.95,3.1117,
1.9,4056.391846,7347.926270,11,143849.09,172.86,0.18,0.22,-0.08,17.17,574.9055,3.0084,1007.73,3.1241,
2.0,4056.391846,7347.926270,11,143849.20,172.86,0.16,0.25,-0.10,17.17,574.9158,3.0110,1007.88,3.1344,
2.1,4056.391846,7347.926270,11,143849.31,172.86,0.17,0.23,-0.10,17.19,574.1732,2.9955,1007.82,3.1097,
2.2,4056.391846,7347.926270,11,143849.41,172.87,0.15,0.24,-0.08,17.17,574.2041,3.0084,1007.73,3.1344,
2.3,4056.391846,7347.926270,11,143849.48,172.87,0.13,0.21,-0.06,17.16,574.3176,2.9594,1008.04,3.1097,
2.4,4056.391846,7347.926270,11,143849.59,172.87,0.14,0.20,-0.05,17.15,574.5135,2.9671,1008.04,3.1613,
2.5,4056.391846,7347.926270,11,143849.70,172.87,0.16,0.20,-0.06,17.16,574.5239,3.0239,1008.01,3.1159,
2.6,4056.391846,7347.926270,11,143849.80,172.88,0.19,0.19,-0.07,17.18,574.5135,3.0213,1007.89,3.1055,
2.7,4056.391846,7347.926270,11,143849.91,172.87,0.17,0.19,-0.06,17.17,573.6677,2.9621,1007.88,3.1220,
2.8,4056.391846,7347.926270,11,143850.00,172.89,0.16,0.20,-0.06,17.16,573.8224,3.0342,1007.98,3.1220,
2.9,4056.391846,7347.926270,11,143850.09,172.88,0.17,0.20,-0.07,17.17,574.3279,3.0239,1008.03,3.1179,
3.0,4056.391846,7347.926270,11,143850.20,172.89,0.13,0.21,-0.06,17.16,574.4413,3.0084,1008.03,3.0828,
3.1,4056.391846,7347.926270,11,143850.30,172.89,0.13,0.20,-0.04,17.15,574.2763,2.9697,1007.80,3.1364,
3.2,4056.391846,7347.926270,11,143850.41,172.89,0.12,0.19,-0.04,17.16,574.3485,3.0187,1007.83,3.0808,
3.3,4056.391846,7347.926270,11,143850.50,172.90,0.14,0.20,-0.05,17.15,574.1319,2.9594,1007.98,3.1571,
